id,category,complexity,question,gold_answer
DAI-05,derived_attribute_identification,complex,"Consider Supplier: could a 'number of active products' or 'total product catalog value' be derived? What EER constructs are involved and what makes these derivations non-trivial?","Both 'number of active products' and 'total product catalog value' could be derived attributes for Supplier, but they require navigating the SuppliedBy relationship and aggregating over Product instances. For number of active products: count all products linked via suppliesProduct (inverse of suppliedBy) where discontinued = false. In OCL: context Supplier inv: self.activeProductCount = self.suppliesProduct->select(p | p.discontinued = false)->size(). For total catalog value: sum the unitPrice of all active products. These derivations are non-trivial for several reasons: (1) they traverse the SuppliedBy relationship (N:1 from Product to Supplier), requiring inverse navigation; (2) they filter on the discontinued boolean, combining relationship traversal with attribute conditions; (3) the values change whenever a product is added, removed, discontinued, or repriced, creating cascading update dependencies. The EER diagram's partial participation of Supplier in SuppliedBy also means a supplier with no products would have derived values of 0, which must be handled correctly."
RDD-01,redundancy_detection,simple,"Is there potential redundancy between Product.unitPrice and OrderLine.unitPrice? What does the EER diagram tell us about these two attributes?","Both Product and OrderLine have a unitPrice attribute, which might appear redundant but serves different purposes. Product.unitPrice is the current list price per unit, while OrderLine.unitPrice (labeled olUnitPrice in the OWL ontology) is the per-unit price charged at the time of the order. The EER diagram defines them on separate entities — Product and OrderLine respectively. This is intentional denormalization: the product price may change over time, but the historical price at which an order was placed must be preserved on the order line. Without OrderLine.unitPrice, recalculating historical order totals would yield incorrect results if the product price changed. This is not true redundancy but rather a deliberate design choice to preserve temporal accuracy."
RDD-02,redundancy_detection,moderate,"The Employee entity has address, city, region, postalCode, and country attributes. Employees are also linked to territories via ServesTerritory, and territories link to regions via InRegion. Is there redundancy between Employee.region (the address field) and the Region entity?","This is not true redundancy despite the naming similarity. Employee.region is a geographic field in the employee's mailing address (state or province), while the Region entity represents a sales region containing territories (e.g., Eastern, Western, Northern, Southern). These are semantically different concepts — the OWL ontology defines nw:region as a data property meaning 'state or province name' with a string range, while nw:Region is a class representing broad geographic sales areas. An employee's home address region (e.g., 'Washington') has no formal relationship to the sales Region they serve through territories. The naming overlap is unfortunate but the data they capture is distinct. However, in practice there could be a correlation — an employee's home region might overlap with their sales region — but the diagram does not enforce or assume this."
RDD-03,redundancy_detection,moderate,"The Customer entity stores address, city, region, postalCode, and country as individual attributes rather than as a composite Address entity. Similarly, Supplier and Employee have the same set of address fields. Is this redundancy, and how could it be addressed in the EER design?","The repetition of address, city, region, postalCode, and country across Customer, Supplier, and Employee is structural redundancy in the schema design. The OWL ontology confirms this by defining these properties with union domains (e.g., nw:address has domain union of Customer, Supplier, Employee). While the data values are independent (a customer's address differs from a supplier's address), the schema pattern is duplicated. This could be addressed by introducing a composite attribute 'Address' containing the five sub-attributes, or by creating a separate Address entity with its own key linked to Customer, Supplier, and Employee via relationships. However, the current flat attribute design is common in practice for simplicity. The key point is that this is schema-level structural redundancy (repeated attribute groups), not data-level redundancy (duplicated values)."
RDD-04,redundancy_detection,complex,"If we stored a 'regionDescription' attribute directly on Employee (denoting the sales region derived from their territory assignments), would this be redundant? Trace the derivation path through the EER diagram.","Storing regionDescription on Employee would be redundant because this information is derivable through the chain: Employee --ServesTerritory--> Territory --InRegion--> Region.regionDescription. The derivation path is: (1) find all territories the employee serves via the M:N ServesTerritory relationship; (2) for each territory, follow the N:1 InRegion relationship to find its region; (3) retrieve regionDescription from each Region. This is a transitive derivation spanning three entities and two relationships. The redundancy is problematic because: (1) an employee may serve territories in multiple regions, so a single regionDescription would be lossy; (2) if a territory is reassigned to a different region, the denormalized value on Employee becomes stale; (3) if an employee's territory assignments change, the derived region must be recomputed. The current EER design correctly avoids this by letting region information be derived on demand."
RDD-05,redundancy_detection,complex,"The EER diagram has both the companyName attribute on Customer and the contactName attribute on Customer. If we added a 'customerName' attribute to Order (denormalized from Customer), what types of anomalies could arise given the PlacedBy relationship constraints?","Adding a denormalized customerName attribute to Order would create data redundancy because this information is already available by navigating the PlacedBy relationship (Order N:1 Customer) and accessing Customer.companyName or Customer.contactName. Three types of anomalies would arise. Update anomaly: if the customer's companyName changes, all associated orders would need to be updated; missing any would create inconsistency. Insertion anomaly: creating a new order would require knowing the customer name, which must match the value in the Customer entity. Deletion anomaly: if all orders for a customer are deleted, the denormalized customer name information on those orders is lost (though this is not typically critical since the Customer entity still exists given partial participation). The PlacedBy relationship with total participation on Order guarantees that every order already has a path to Customer, making the denormalized attribute unnecessary. The N:1 cardinality means the navigation is deterministic — each order maps to exactly one customer."
DCV-01,diagram_consistency_verification,simple,"Suppose the EER diagram is modified so that the PlacedBy relationship has partial participation on the Order side (instead of total). Is this modification consistent with the business rules described in the diagram?","No, this modification is inconsistent with the business rules. The diagram note for Order states 'every order must be placed by exactly one customer,' and the PlacedBy note says 'each order is placed by exactly one customer.' Changing to partial participation on Order would allow orders to exist without any associated customer, contradicting these rules. Total participation on Order is essential because an order without a customer is semantically meaningless — there is no one to bill, ship to, or hold responsible. The OWL ontology reinforces this with owl:qualifiedCardinality 1 on placedBy for Order, which mandates exactly one customer per order. Partial participation would weaken this to at most one customer, permitting zero."
DCV-02,diagram_consistency_verification,simple,"Suppose the HasOrderLine relationship is modified to have partial participation on the Order side (instead of total). What business rule would this violate?","This modification would violate the business rule stated in the Order entity note: 'an order must contain at least one order line.' Total participation of Order in HasOrderLine ensures every order has at least one order line — changing to partial would allow empty orders (orders with zero line items). The OWL ontology enforces this with owl:minQualifiedCardinality 1 on hasOrderLine. An empty order is problematic because it represents a purchase with nothing being purchased — no products, no quantities, no prices. The HasOrderLine note explicitly states 'each order contains one or more order lines.' Partial participation would permit the degenerate case of an order with no content, undermining the purpose of the order entity."
DCV-03,diagram_consistency_verification,moderate,"Suppose the M:N cardinality between Employee and Territory in ServesTerritory is replaced with 1:N (one employee per territory). Is this modification correct given the diagram's business rules?","This modification is not correct according to the diagram's business rules. The EER diagram specifies M:N cardinality for ServesTerritory, with the Territory note stating 'a territory may be served by one or more employees' and the Employee note stating 'an employee may be assigned to one or more sales territories.' Changing to 1:N (one employee per territory, or equivalently each territory has exactly one employee) would violate the rule that multiple employees can serve the same territory. In a real sales organization, territories often have overlapping coverage. Furthermore, the 1:N change would also prevent employees from serving multiple territories if the N side is on Employee, or prevent territories from having multiple employees if the N side is on Territory — either way, one of the stated business rules is violated."
DCV-04,diagram_consistency_verification,moderate,"Suppose someone adds a new relationship 'BelongsToSupplier' between Category and Supplier with 1:1 cardinality, claiming each category is managed by one supplier. Is this consistent with the existing EER diagram?","This modification is inconsistent with the existing EER diagram's structure and business rules. The current diagram connects Product to both Category (via BelongsToCategory, N:1) and Supplier (via SuppliedBy, N:1), but Category and Supplier have no direct relationship. Adding a 1:1 BelongsToSupplier between Category and Supplier would imply each category has exactly one supplier and each supplier manages exactly one category. This contradicts the existing design where multiple suppliers can provide products within the same category (e.g., different suppliers providing different beverages in the Beverages category). The diagram's note says 'a supplier may provide one or more products' and products independently belong to categories, so the Supplier-Product-Category relationship is mediated through Product, not direct. A 1:1 Category-Supplier link would impose an artificial restriction not present in the original domain model."
DCV-05,diagram_consistency_verification,complex,"Suppose OrderLine is promoted to a strong entity with a surrogate key orderLineID, and the HasOrderLine relationship is changed to a regular binary relationship. The IncludesProduct relationship is also changed to have partial participation on OrderLine. What are all the implications of these changes?","These changes have multiple cascading implications. First, promoting OrderLine to a strong entity with orderLineID removes its identification dependency on Order and Product — the composite key (orderID, productID) is replaced by a surrogate. This allows duplicate product entries per order (two line items for the same product), which the original design prevented. Second, changing HasOrderLine to a regular relationship removes the identifying relationship semantics, though if total participation on both sides is retained, the existence dependency is partially preserved. Third, changing IncludesProduct to partial participation on OrderLine is the most problematic change — it would allow order lines that reference no product, which is semantically nonsensical (what is being ordered?). The original total participation ensures every line item has exactly one product. Combined, these changes weaken three important constraints: (1) unique product per order line, (2) structural existence dependency, and (3) mandatory product reference. The OWL axioms for owl:qualifiedCardinality 1 on belongsToOrder and includesProduct would need to be relaxed, and the weak entity semantics captured by owl:FunctionalProperty on both would be lost."
DCV-06,diagram_consistency_verification,complex,"Suppose the ReportsTo relationship is changed from partial-partial participation to total-partial (total on the subordinate side, partial on the manager side). What would this imply for the organizational structure, and does it conflict with any stated business rule?","Changing ReportsTo to total participation on the subordinate side (where employees report to a manager) would mean every employee must report to some manager — no employee could exist without a superior. This directly conflicts with the EER diagram note that states 'an employee who is the top-level executive does not report to anyone' and 'some employees, such as the top executive, have no manager.' Total participation would make the top executive's existence a constraint violation. Furthermore, it would make the organizational hierarchy impossible to bootstrap — you could not insert the first employee because they would need a manager who does not yet exist. The partial participation on the manager side correctly models that not every employee has subordinates (individual contributors), and the partial participation on the subordinate side correctly models that not every employee has a manager (top executive). Changing to total on either side would overconstrain the model relative to the stated business rules."
